,Trough,Expansion,Peak,Contraction,All Data
XLB,-1.085039121,4.980807457,4.098980008,-0.556958116,3.638479388
XLI,-13.38736846,6.359980014,6.87876416,-4.665366337,3.87322103
XLF,-22.11650997,7.117973142,9.571557169,-15.64913483,2.792055919
XLK,3.319961857,5.431221875,12.59145513,-3.037095157,5.510818915
XLY,-1.196418968,6.877066815,3.331135057,-4.14128109,4.285206913
XLP,-8.223789429,5.556045511,5.142296444,0.591698996,3.287826683
XLE,-4.937783529,3.803369782,-0.445333548,3.117691903,3.648982906
XLV,-4.722717426,8.881998588,8.601504391,-3.796023385,3.765167302
VOX,4.220221495,5.306313326,6.129356651,-5.577244274,3.174659517
XLU,-8.814174633,4.632372974,6.284202352,-2.916862151,3.501892411
IYR,-17.58033422,4.000110022,4.337404799,-0.183853941,3.225939269
Average,-6.774904764,5.722478137,6.047392965,-3.346766217,3.700386387